"<b/>","-33.428047839173","-70.5889261704441","0.0","TOBALABA-EL VERGEL;PROVIDENCIA"
"<b/>","-33.4403779856327","-70.6275079945448","0.0","CONDELL-RANCAGUA;PROVIDENCIA"
"<b/>","-33.4397859411399","-70.6246528651841","0.0","SALVADOR-RANCAGUA;PROVIDENCIA"
"<b/>","-33.4394205181892","-70.6214276562162","0.0","JOSE MANUEL INFANTE-RANCAGUA;PROVIDENCIA"
"<b/>","-33.4387366477765","-70.6185493785481","0.0","MIGUEL CLARO-ALFEREZ REAL;PROVIDENCIA"
"<b/>","-33.4382197317346","-70.6157954648306","0.0","MANUEL MONTT-ALFEREZ REAL;PROVIDENCIA"
"<b/>","-33.4378873816699","-70.614114301944","0.0","ANTONIO VARAS-ALFEREZ REAL - POCURO;PROVIDENCIA"
"<b/>","-33.4365691202349","-70.6097265090395","0.0","POCURO-ALTURA 1920;PROVIDENCIA"
"<b/>","-33.4384252287464","-70.6111180098778","0.0","REGIMIENTO CAZADORES-BILBAO NORTE;PROVIDENCIA"
"<b/>","-33.4384900598774","-70.6105424393757","0.0","REGIMIENTO CAZADORES-BILBAO SUR;PROVIDENCIA"
"<b/>","-33.4362219983983","-70.6080368113368","0.0","PEDRO DE VALDIVIA-POCURO;PROVIDENCIA"
"<b/>","-33.4353486892627","-70.6047201619015","0.0","RICARDO LYON-POCURO;PROVIDENCIA"
"<b/>","-33.4349510776926","-70.6031085618665","0.0","SUECIA-POCURO;PROVIDENCIA"
"<b/>","-33.4345659646273","-70.6015051652001","0.0","LOS LEONES-POCURO;PROVIDENCIA"
"<b/>","-33.4340235146852","-70.5995129680394","0.0","HOLANDA-POCURO;PROVIDENCIA"
"<b/>","-33.4335262610569","-70.5975731443127","0.0","LUIS THAYER OJEDA-POCURO;PROVIDENCIA"
"<b/>","-33.4331966372422","-70.596284456506","0.0","HERNANDO DE AGUIRRE-POCURO;PROVIDENCIA"
"<b/>","-33.4328266188639","-70.5951133545635","0.0","POCURO-PRESIDENTE ALFARO;PROVIDENCIA"
"<b/>","-33.4324790451567","-70.5937807965274","0.0","POCURO-AUGUSTO OVALLE;PROVIDENCIA"
"<b/>","-33.4316242265258","-70.5901453153686","0.0","AMAPOLAS-POCURO;PROVIDENCIA"
"<b/>","-33.430064248443","-70.5866082889714","0.0","TOBALABA-POCURO;PROVIDENCIA"
"<b/>","-33.4317787464967","-70.5847653864788","0.0","TOBALABA-BILBAO;PROVIDENCIA"
"<b/>","-33.4372918735218","-70.5905267251758","0.0","JORGE MATTE-DIEGO DE ALMAGRO;PROVIDENCIA"
"<b/>","-33.4351051741287","-70.5886776423339","0.0","AMAPOLAS-BILBAO;PROVIDENCIA"
"<b/>","-33.4355126073584","-70.5881999575517","0.0","AMAPOLAS-DIEGO DE ALMAGRO;PROVIDENCIA"
"<b/>","-33.435533500789","-70.5916498742109","0.0","JORGE MATTE-BILBAO;PROVIDENCIA"
"<b/>","-33.4357858827296","-70.5931915558927","0.0","EL BOSQUE-BILBAO;PROVIDENCIA"
"<b/>","-33.436025244995","-70.5953514964347","0.0","HERNANDO DE AGUIRRE-BILBAO;PROVIDENCIA"
"<b/>","-33.4362088571229","-70.5967183297317","0.0","LUIS THAYER OJEDA-BILBAO;PROVIDENCIA"
"<b/>","-33.4364906727155","-70.5987912955203","0.0","HOLANDA-BILBAO;PROVIDENCIA"
"<b/>","-33.4369551100599","-70.6008614957166","0.0","LOS LEONES-BILBAO;PROVIDENCIA"
"<b/>","-33.4373015855383","-70.6023149243494","0.0","SUECIA-BILBAO;PROVIDENCIA"
"<b/>","-33.4376670073643","-70.6038361559872","0.0","RICARDO LYON-BILBAO;PROVIDENCIA"
"<b/>","-33.4383884230247","-70.6073930778276","0.0","PEDRO DE VALDIVIA-BILBAO;PROVIDENCIA"
"<b/>","-33.4380705133079","-70.6059669220617","0.0","FRANCISCO BILBAO-ANDACOLLO;PROVIDENCIA"
"<b/>","-33.4390479868466","-70.613757692234","0.0","ANTONIO VARAS-BILBAO;PROVIDENCIA"
"<b/>","-33.4394028875779","-70.6155219057416","0.0","MANUEL MONTT-BILBAO;PROVIDENCIA"
"<b/>","-33.442645222512","-70.6148094165624","0.0","MANUEL MONTT-CARLOS WILSON;PROVIDENCIA"
"<b/>","-33.4397679044538","-70.6183062744642","0.0","MIGUEL CLARO-BILBAO;PROVIDENCIA"
"<b/>","-33.4399890010964","-70.6197457607139","0.0","ROMAN DIAZ-BILBAO;PROVIDENCIA"
"<b/>","-33.4402446933358","-70.6211590052527","0.0","JOSE MANUEL INFANTE-BILBAO;PROVIDENCIA"
"<b/>","-33.4405773363184","-70.6226173626416","0.0","JULIO PRADO-BILBAO;PROVIDENCIA"
"<b/>","-33.4411422561761","-70.6242629251765","0.0","SALVADOR-BILBAO;PROVIDENCIA"
"<b/>","-33.4418025152717","-70.6264008046926","0.0","ITALIA-BILBAO;PROVIDENCIA"
"<b/>","-33.4419999805767","-70.6272628967872","0.0","CONDELL-BILBAO;PROVIDENCIA"
"<b/>","-33.4405920992115","-70.6152680295482","0.0","MANUEL MONTT-PUYEHUE;PROVIDENCIA"
"<b/>","-33.4394024001225","-70.6071596346651","0.0","PEDRO DE VALDIVIA-ENRIQUE DEL PIANO;PROVIDENCIA"
"<b/>","-33.4403205089441","-70.6070169282216","0.0","PEDRO DE VALDIVIA-BUSTOS;PROVIDENCIA"
"<b/>","-33.440290548383","-70.6068990819739","0.0","RICARDO LYON-BUSTOS;PROVIDENCIA"
"<b/>","-33.4392528642497","-70.6002273031764","0.0","LOS LEONES-BUSTOS;PROVIDENCIA"
"<b/>","-33.4339638249625","-70.58236884078","0.0","TOBALABA-ELIECER PARADA;PROVIDENCIA"
"<b/>","-33.4813802385947","-70.7451093083404","0.0","PAJARITOS (PONIENTE)-PROVIDENCIA;MAIPU"
"<b/>","-33.4389994959088","-70.6978087123256","0.0","SAN PABLO-SANTA GENOVEVA;PROVIDENCIA"
"<b/>","-33.4446276687245","-70.6232204033042","0.0","SALVADOR-LOS JESUITAS;PROVIDENCIA"
"<b/>","-33.443550143032","-70.6235687599748","0.0","SALVADOR-MARIN;PROVIDENCIA"
"<b/>","-33.4431410927001","-70.6031408322712","0.0","RICARDO LYON-D.DE ALMAGRO;PROVIDENCIA"
"<b/>","-33.4427844770998","-70.6013701028138","0.0","SUECIA-D.DE ALMAGRO;PROVIDENCIA"
"<b/>","-33.4415525517905","-70.5996107566093","0.0","LOS LEONES-DIEGO DE ALMAGRO;PROVIDENCIA"
"<b/>","-33.4413019484338","-70.5977833905485","0.0","HOLANDA-D.DE ALMAGRO;PROVIDENCIA"
"<b/>","-33.440297160561","-70.5944378828334","0.0","L. T. OJEDA - RENATO ZANELLI-DIEGO DE ALMAGRO;PROVIDENCIA"
"<b/>","-33.439346203227","-70.5932006779017","0.0","HERNANDO DE AGUIRRE-D.DE ALMAGRO;PROVIDENCIA"
"<b/>","-33.4356580851817","-70.5838421786656","0.0","DIEGO DE ALMAGRO-E.PARADA;PROVIDENCIA"
"<b/>","-33.4373525867011","-70.5853614858483","0.0","AMAPOLAS-E.PARADA;PROVIDENCIA"
"<b/>","-33.4416129441973","-70.5885965755103","0.0","HERNANDO DE AGUIRRE-E.PARADA;PROVIDENCIA"
"<b/>","-33.4442516482083","-70.5902902140676","0.0","ECHEÑIQUE-E.PARADA;PROVIDENCIA"
"<b/>","-33.4430168217129","-70.5975352425556","0.0","HOLANDA-EL AGUILUCHO;PROVIDENCIA"
"<b/>","-33.4432218335126","-70.5993736406336","0.0","LOS LEONES-EL AGUILUCHO;PROVIDENCIA"
"<b/>","-33.4457320701078","-70.6229015722835","0.0","SALVADOR-SANTA ISABEL;PROVIDENCIA"
"<b/>","-33.4449977984116","-70.6194660874503","0.0","JOSE MANUEL INFANTE-SANTA ISABEL;PROVIDENCIA"
"<b/>","-33.4456236703275","-70.6169775749224","0.0","MIGUEL CLARO-SANTA ISABEL;PROVIDENCIA"
